Clue Type,Clue Value,Count
SIZE,FEW,8
SIZE,FN,3
V,AA,1
A,AA,1
,AA,4
,,95
AA,AA,1
,A,6
A,,4
VA,F,1
VA,,1
AA,,2
,Z,1
A,J,1
VNA,,1
A,Y,1
AAAA,,2
ANIAA,,1
NI,,1
A,A,2
CRIME,WVSWV,1
CRIME,SSWAP,2
CRIME,PSWV,2
CRIME,SWV,1
CRIME,SWAP,1
CRIME,SSWV,1
CRIME,SOAPSWAP,5
CRIME,AAPSWAP,1
CRIME,JAPSWAP,1
CRIME,SUAPSWAP,1
,PAT,1
T,,1
TME,MT,1
TN,II,1
TN,I,1
,F,1
F,,3
A,I,1
N,PA,1
A,L,1
A,ALR,2
A,AITI,1
A,WW,1
A,PA,1
A,VAA,1
A,MZ,1
N,AA,1
A,AW,1
A,AAI,1
I,AAA,1
A,M,1
A,MAA,1
A,JZ,1
A,AVZ,1
AAT,VIAK,1
A,PW,1
A,MAII,1
AT,AAUI,1
NV,ADAI,1
NAT,AAI,1
NAV,IQMX,1
BAT,IAI,1
PE,IE,1
PLE,JEE,1
PE,DEE,3
PE,QE,1
PE,ADEE,1
PE,YDE,2
PE,NDE,1
PE,DE,13
PE,E,1
PCE,DEE,1
PCE,DE,2
PCE,DEDGE,1
